Location,2011__Total Gross State Product,2012__Total Gross State Product,2013__Total Gross State Product,2014__Total Gross State Product,2015__Total Gross State Product,2016__Total Gross State Product,2017__Total Gross State Product
United States,15542582,16197007,16784851,17521747,18219297,18707189,19485394
Alabama,181349.8,186299,191481,194059.7,200317.5,203354.7,211196.5
Alaska,56259.9,57670,56623,55547.4,50636.1,49380.9,51479
Arizona,257947.8,268289,275199,284573.8,297116.4,310928.9,326445.8
Arkansas,106085.4,108745,114252,117339.1,118435.8,119947.3,122703.5
California,2050056.8,2144497,2262771,2396552.1,2557131.9,2665348.9,2797600.9
Colorado,264431.6,273520,288305,306362,317977.9,328513.8,345233.1
Connecticut,236523.7,243801,246632,248954.2,259776,263239.9,264509.9
Delaware,60357.4,61976,60666,67178.9,70917.7,70484.1,72461.3
District of Columbia,110076.2,112737,114891,119994.4,125434.6,130071.6,135768.3
Florida,746787.5,769309,800704,839706,895004.2,938086.1,976385.5
Georgia,429574,444132,460585,484915.4,513100.5,538360.6,563607.6
Hawaii,70482.6,73583,75788,77972.5,82739.9,85648.1,88447.9
Idaho,56488.1,57764,61018,63614.9,66273.6,69203.4,72294.2
Illinois,688288.9,720702,739628,765910.2,791625.9,803680.2,822539.6
Indiana,288749.1,297553,308682,325040.6,330026.5,338711,352272.7
Iowa,147227,157251,160300,171512.5,177875.4,180179.3,183929.8
Kansas,135315.3,140478,143221,148276.1,151679.9,155580.4,159108.2
Kentucky,169940.7,176302,182359,186694.5,191916.4,195034.8,202174.9
Louisiana,228987.5,233623,228967,237876.9,234440.9,227983.9,235960.2
Maine,51866.7,52874,53719,55875.1,57515.1,59447.3,61702.8
Maryland,328058.4,334822,341255,352524.3,367276.7,384376.8,399537.9
Massachusetts,425593.2,444330,454346,473454.4,502816.9,519564.2,542978.8
Michigan,401105.4,418857,432718,448964.4,473729.6,490185,508904.8
Minnesota,283807.3,294297,306153,319338.9,328455,338364.2,350178.9
Mississippi,96371.6,99615,101638,103658.1,105706.7,106848.6,109375.4
Missouri,260093.5,268762,277851,284729.4,294750.3,295960.5,303763
Montana,40579.3,42006,43141,44529.2,46100.7,45595.5,47079
Nebraska,99613.4,102269,107604,111330.7,115269.6,116283.1,119587.5
Nevada,126657.1,128043,130621,135026.5,144378.9,149739.6,158302.1
New Hampshire,65430.5,67689,70182,72368.7,75892.9,78418.2,81649.7
New Jersey,499114.9,519746,533687,546831.5,569391.3,582070.9,602069
New Mexico,86625,87602,88411,92495.9,90849.4,90880,94210.7
New York,1236061.4,1322448,1355581,1427812.7,1488200.7,1540969.7,1606601.3
North Carolina,427205.6,439571,455522,475227.2,503467.3,518384,540496.6
North Dakota,41179.2,51345,53882,58547.4,54932.7,51099.2,52526.6
Ohio,525388.4,540819,561046,593030,609633.9,620931.2,645746.9
Oklahoma,165035.6,173484,182618,195689,185460.5,178969.9,188631.7
Oregon,170621.3,174493,179383,189344.3,203173.3,215336.1,227154.5
Pennsylvania,618987.7,641317,663901,690675.4,710040.5,724668.3,756268.5
Rhode Island,50175.9,51642,53210,54573.3,56843.8,57860,59305.7
South Carolina,170087.2,175375,183015,191967.4,203920.5,212460.2,221689.6
South Dakota,41541.5,43445,44815,46057,47778.2,48492.9,49813.1
Tennessee,267659.1,283722,292804,304150.4,322893.1,334618.1,349569.2
Texas,1331220.6,1411379,1502250,1565390.2,1568641.9,1565698.8,1645135.9
Utah,124539.4,128721,134252,141342.9,149576.7,157474.7,164917
Vermont,28135.1,28887,29099,29714.4,30672.9,31552.2,32545.2
Virginia,432392.7,444950,455070,463781.7,484690.5,493699.5,510586.1
Washington,379539,400863,419345,442442.4,469944,492251.4,524322.7
West Virginia,68524.9,69399,71038,72027.1,70413.6,70191.4,74047.4
Wisconsin,263881.6,274344,282385,293519.4,304763.9,312203.7,321373.3
Wyoming,39370.7,38432,38923,39372.3,37764.1,35984.2,38036.8
