overall_rank,state,total_score
1,Massachusetts,80.06
2,Maryland,73.21
3,Vermont,70.07
4,Connecticut,68.22
5,Colorado,67.97
6,Virginia,66.98
7,New Hampshire,66.32
8,Minnesota,65.57
9,Utah,64.53
10,Washington,63.77
11,New Jersey,62.93
12,New York,56.73
13,Oregon,55.71
14,Hawaii,55.65
15,Illinois,55.62
16,Delaware,55.4
17,Maine,54.91
18,Montana,53.37
19,Kansas,53.31
20,Wisconsin,53.23
21,Rhode Island,52.95
22,Nebraska,52.08
23,North Dakota,52.02
24,Wyoming,51.25
25,California,50.03
26,Iowa,49.69
27,Alaska,49.19
28,Florida,48.86
29,Pennsylvania,48.74
30,Michigan,48.66
31,North Carolina,46.03
32,Ohio,45.08
33,Georgia,44.96
34,Missouri,44.5
35,South Dakota,44.12
36,Arizona,42.61
37,Indiana,41.82
38,Idaho,41.66
39,Texas,37.12
40,New Mexico,36.32
41,Tennessee,35.85
42,South Carolina,34.77
43,Oklahoma,34.43
44,Nevada,33.31
45,Kentucky,32.15
46,Alabama,30.23
47,Arkansas,27.9
48,Louisiana,22.57
49,West Virginia,21.02
50,Mississippi,19.32
